case1,case2,case3,case4
0.393,2.45,3.537,0.393
3.537,7.938000000000001,9.825000000000001,3.537
9.825000000000001,16.562,19.257,9.825000000000001
19.257,28.322000000000003,31.833000000000002,19.257
31.833000000000002,43.218,47.553000000000004,31.833000000000002
47.553000000000004,61.25,66.417,47.553000000000004
66.417,82.418,88.425,66.417
88.425,106.72200000000001,113.577,88.425
