case1,case2,case3,case4
19.072684660736552,118.90096035319226,171.654161946629,19.072684660736552
322.0524794769196,722.774266917667,894.5902207692212,322.0524794769196
894.5902207692212,1508.0105075195768,1753.3968327076736,894.5902207692212
934.5615483760912,1374.4951016829025,1544.887457519661,934.5615483760912
2898.4723152922766,3935.1043421072977,4329.816668523031,2898.4723152922766
4329.816668523031,5576.961936093109,6047.429892399935,4329.816668523031
3223.283707664478,3999.8283062813875,4291.354048665724,3223.283707664478
8051.31198692299,9717.298477448634,10341.462952092195,8051.31198692299
